"","Country.ID","Country","GHG.total.without.LULUCF..latest.year","X..change.since.1990","GHG.emissions.per.capita...latest.year","GHG.from.energy..as.percentage.to.total","GHG.from.industrial.processes.and.product.use..as.percentage.to.total","GHG.from.agriculture..as.percentage.to.total","GHG.from.waste..as.percentage.to.total"
"14",156,"China",12300200,0,8.79,77.7,14,6.7,1.6
"182",840,"United States of America",6676649.62,3.72,20.41,83.1,5.6,9.3,2
"135",643,"Russian Federation",2220122.95,-30.35,15.23,78.9,11,5.7,4.4
"58",356,"India",2100849.73,0,1.7,71.9,6.5,18.6,3.1
"68",392,"Japan",1238342.71,-2.5,9.74,87.7,8.1,2.7,1.6
"162",76,"Brazil",1026660.5,86.83,5.02,43.8,8.3,41.8,6.1
"43",276,"Germany",858368.68,-31.3,10.33,83.9,7.5,7.4,1.1
"8",124,"Canada",729349.27,20.91,19.67,81.7,7.7,8.1,2.4
"75",410,"Republic of Korea",693942.65,136.87,13.61,87.2,7.4,3.1,2.4
"96",484,"Mexico",605887.32,49.91,5.1,77.2,7.2,11.6,4
"59",36,"Australia",558047.22,31.31,22.41,78.1,6.1,13.5,2.3
"60",360,"Indonesia",554333.48,107.76,2.62,50.7,7.7,13.2,28.4
"143",682,"Saudi Arabia",548262.55,231.74,18.81,83.2,9.9,2.1,4.6
"171",792,"Turkey",520941.59,137.47,6.33,71.6,12.5,12.5,3.4
"61",364,"Iran (Islamic Republic of)",483669.17,0,7.37,78.1,6.5,8.9,6.5
"179",826,"United Kingdom of Great Britain and Northern Ireland",465931.88,-41.6,6.94,80.5,6.1,8.8,4.5
"37",250,"France",452209.68,-17.99,6.96,70.4,9.1,16.6,3.9
"65",380,"Italy",427529.02,-17.15,7.05,80.5,8.1,7.1,4.3
"128",616,"Poland",412856.37,-13.1,10.89,82.9,6,8,3.1
"69",398,"Kazakhstan",396570.47,-1.32,21.65,83.5,5.6,9.1,1.7
"122",586,"Pakistan",394583,0,1.98,46.5,5.5,44,4
"152",710,"South Africa",379837.16,9.35,9.36,78.3,8,9.3,4.3
"176",804,"Ukraine",339244.28,-63.99,7.67,66.7,16.7,13,3.6
"50",32,"Argentina",338963.35,46.7,8.12,54.1,4.5,35.3,6.1
"155",724,"Spain",334255.16,15.51,7.16,75.8,8.3,11.9,4
"165",764,"Thailand",318660.9,0,4.68,74.4,6,16,3.7
"89",458,"Malaysia",287740.31,327.12,10.04,76.1,6.3,5.5,12.1
"150",704,"Viet Nam",278441.86,0,3.07,53,11.4,29.2,6.4
"66",384,"Côte d’Ivoire",271197.46,0,16.48,24.6,0,71.8,3.7
"178",818,"Egypt",241631.56,106.98,3.2,65,11,16.1,7.9
"116",566,"Nigeria",212444,0,1.74,71.6,1,26.3,1.1
"185",860,"Uzbekistan",205269.93,13.84,6.97,81.9,3.8,10.5,3.7
"169",784,"United Arab Emirates",199878.61,0,21.69,83.3,11.3,0.5,4.9
"186",862,"Venezuela (Bolivarian Republic of)",192192.24,0,8.1,74.7,4.8,17.1,3.4
"110",528,"Netherlands",187756.39,-14.94,11.01,82.7,6,9.7,1.6
"15",170,"Colombia",153884.77,29.61,3.66,42.9,5.9,44.6,6.7
"24",203,"Czechia",127449.6,-35.37,11.95,76,12.8,6.8,4.5
"127",608,"Philippines",126878.71,0,1.63,54.9,6.8,29.2,9.1
"114",56,"Belgium",118455.74,-19.09,10.32,72.2,18.2,8.4,1.2
"134",642,"Romania",116115.12,-53.18,5.95,66.3,11.6,17.1,5
"6",12,"Algeria",111022.59,0,3.58,78.9,4.9,5.9,10.3
"13",152,"Chile",108800.02,117.64,5.98,79.8,5.9,9.6,4.5
"101",50,"Bangladesh",99442.24,0,0.72,38.9,2.9,43.4,14.8
"102",504,"Morocco",96108.05,0,2.89,59.2,10.3,22.3,8.2
"31",231,"Ethiopia",94995.96,120.83,1,21,1.9,70.8,6.4
"47",300,"Greece",92221.66,-10.73,8.76,73,13.4,8.4,5.1
"4",112,"Belarus",91992.61,-33.23,9.73,62,6.7,24.5,6.9
"74",408,"Democratic People's Republic of Korea",87330,-57.92,3.74,88.9,6.5,3.2,1.4
"76",414,"Kuwait",86336.98,0,21.82,95.6,2.2,0.2,2
"126",604,"Peru",84564,0,2.87,52.8,7.2,30.8,9.2
"163",760,"Syrian Arab Republic",79215.75,0,4.31,73.7,3.7,17.8,4.9
"71",40,"Austria",78950.34,0.58,8.88,69.3,19.8,9.2,1.8
"112",554,"New Zealand",78862.29,24.02,16.63,40.5,6.5,47.8,5.1
"64",376,"Israel",78697.77,0,9.39,80.3,8.8,2.8,8.2
"62",368,"Iraq",72658,0,3.39,74.9,8.8,11.1,5.1
"157",729,"Sudan",67839.6,0,2.49,12.4,0.1,84.7,2.8
"129",620,"Portugal",67280.28,14.89,6.56,72,11.1,10.1,6.8
"172",795,"Turkmenistan",66367.2,0,13.05,85.1,1.9,12.4,0.6
"145",688,"Serbia",66342.41,-17.9,6.85,76.2,5.5,14.3,4
"56",348,"Hungary",63219.56,-32.71,6.51,72,11.2,11.3,5.4
"34",24,"Angola",61610.76,0,3.17,61.2,0.6,36.6,1.5
"132",634,"Qatar",61592.97,0,50.55,91.3,7.9,0.1,0.7
"63",372,"Ireland",60934.54,9.85,12.65,60,5.8,32.7,1.5
"29",218,"Ecuador",60191.63,-66.31,3.89,62.5,7.6,24.3,5.6
"49",31,"Azerbaijan",57994.77,-20.97,6.18,84.9,2.2,11.5,1.3
"1",100,"Bulgaria",57815.59,-43.2,8.2,71.3,11.3,11.1,6.4
"36",246,"Finland",56359.07,-20.69,10.21,74.8,10.4,11.6,3.2
"91",466,"Mali",52732.84,0,3.5,7.5,0.1,91.8,0.6
"118",578,"Norway",52022.4,1.09,9.75,72.1,17,8.6,2.2
"160",752,"Sweden",51779.24,-27.26,5.19,70.3,14.2,13.1,2.4
"73",404,"Kenya",49964.09,0,1.19,32.6,4.4,59.2,3.8
"26",208,"Denmark",49694.48,-30.01,8.64,71.1,4.3,22.3,2.3
"148",702,"Singapore",48333.87,0,9,97.5,2.2,0,0.3
"52",324,"Guinea",47713,0,5.79,5,0,94.8,0.1
"161",756,"Switzerland",46332.51,-13.85,5.43,76,9.5,12.9,1.4
"18",180,"Democratic Republic of the Congo",45998.98,0,0.89,7.8,0.3,75.2,16.7
"125",600,"Paraguay",45230.73,-19.51,7.04,12.6,1.5,81,4.8
"142",68,"Bolivia (Plurinational State of)",43665.1,184.95,4.81,20.7,48.7,26.7,3.9
"70",4,"Afghanistan",43377,0,1.34,23.7,0.5,75.5,0.3
"149",703,"Slovakia",43348.35,-41.04,7.95,67.6,22.2,6.3,3.9
"180",834,"United Republic of Tanzania",39236.7,0.64,1.36,17.6,0.9,75.8,5.7
"2",104,"Myanmar",38374.9,0,0.78,21.4,1.3,69.1,8.1
"188",887,"Yemen",37942.87,0,1.55,62.1,3.7,28.7,5.6
"22",192,"Cuba",36296.71,-23.81,3.24,71.9,3.7,18.3,6
"170",788,"Tunisia",34237.87,0,3.53,60.6,11.5,22.3,5.5
"156",728,"South Sudan",33638.5,0,3.14,7.9,0,79.8,12.3
"184",858,"Uruguay",32006.48,24.74,9.31,19.2,2,74.9,3.4
"7",120,"Cameroon",28939,0,1.87,16.4,0.7,75.9,7
"87",450,"Madagascar",27756.08,0,1.31,10.8,0.7,86.7,1.8
"72",400,"Jordan",27752,0,4.63,75.4,9.2,4.5,11
"175",800,"Uganda",27559.78,0,1.17,17.8,0.6,79.1,2.5
